"contract_address","brand_id","is_sponsored","face_value","budget_total","budget_left","outstanding","assigns_180d","redeems_180d","p_upper","cap_face"
"0x00000000000000000000000000000000000134","594","false","5","0","0","0","6867","145","0.02466560276715264493297620","0"
"0x00000000000000000000000000000000000136","4","false","8","0","0","4","9","0","0.2535660928348675124372","0"
"0x00000000000000000000000000000000000138","42","false","5","0","0","1","34207","269","0.00883037416790466736603988","0"
"0x00000000000000000000000000000000000142","603","false","7","0","0","0","33568","177","0.00607923305369833690962348","0"
"0x00000000000000000000000000000000000146","51","false","4","0","0","7","11141","148","0.01550419881366388844783388","0"
"0x00000000000000000000000000000000000148","199","false","5","0","0","0","14041","153","0.01268876770111663132785912","0"
"0x00000000000000000000000000000000000164","629","false","6","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000173","627","false","8","0","0","0","9371","170","0.02095317364208046600840004","0"
"0x00000000000000000000000000000000000179","641","false","5","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000180","640","false","8","0","0","0","730","22","0.04405008709475405272319764","0"
"0x00000000000000000000000000000000000184","637","false","8","0","0","0","785","26","0.04701636598007717527966980","0"
"0x00000000000000000000000000000000000213","668","false","4","0","0","0","4573","44","0.01269548144204309105001748","0"
"0x00000000000000000000000000000000000216","671","false","4","0","0","0","4549","36","0.01073881500114979397214508","0"
"0x00000000000000000000000000000000000219","674","false","8","0","0","0","2831","60","0.02687600221347179512603352","0"
"0x00000000000000000000000000000000000229","679","false","8","0","0","0","3187","41","0.01712648181869438604234672","0"
"0x00000000000000000000000000000000000230","680","false","6","0","0","0","787","7","0.01712553685050238940925952","0"
"0x00000000000000000000000000000000000234","683","false","8","0","0","0","674","24","0.05119818714200439198961280","0"
"0x00000000000000000000000000000000000263","737","false","4","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000265","739","false","4","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000303","628","false","6","0","0","0","37375","572","0.01657585414215671463471008","0"
"0x00000000000000000000000000000000000310","833","false","5","0","0","0","2180","38","0.02343150163153191518424728","0"
"0x00000000000000000000000000000000000311","834","false","6","0","0","0","1242","26","0.02979845937298080529421996","0"
"0x00000000000000000000000000000000000320","902","false","6","0","0","0","3372","1","0.00141393786935923178410160","0"
"0x00000000000000000000000000000000000322","903","false","5","0","0","0","5109","53","0.01336828589884951744275936","0"
"0x00000000000000000000000000000000000324","904","false","5","0","0","0","1679","6","0.00724171666431630078788532","0"
"0x00000000000000000000000000000000000328","906","false","5","0","0","0","31363","304","0.01081021996680154700821440","0"
"0x00000000000000000000000000000000000332","909","false","6","0","0","0","23228","98","0.00509942896873246137000268","0"
"0x00000000000000000000000000000000000337","936","false","6","0","0","0","6788","150","0.02574577571712364726050256","0"
"0x00000000000000000000000000000000000349","1003","false","5","0","0","0","2","0","0.6295523679283268547496","0"
"0x00000000000000000000000000000000000350","1004","false","5","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000414","1923","false","7","0","0","0","763","18","0.03585773994676882023391444","0"
"0x00000000000000000000000000000000000418","1927","false","5","0","0","0","1","0","0.7953097637085443826308","0"
"0x00000000000000000000000000000000000419","1928","false","5","0","0","0","20201","147","0.00850152664143501936902124","0"
"0x00000000000000000000000000000000000444","2417","false","5","0","0","0","3750","96","0.03093018655622002683941148","0"
"0x00000000000000000000000000000000000516","556","false","7","0","0","0","4104","160","0.04514714765946340302785900","0"
"0x00000000000000000000000000000000000517","609","false","10","0","0","0","287","8","0.0511340184395172513400","0"
"0x00000000000000000000000000000000000518","633","false","5","0","0","0","118","5","0.0888338269515441825524","0"
"0x00000000000000000000000000000000000519","1625","false","5","0","0","0","873","18","0.03136611536078871062804104","0"
"0x00000000000000000000000000000000000520","560","false","7","0","0","0","1494","55","0.04704903070132843890942164","0"
"0x00000000000000000000000000000000000521","626","false","5","0","0","0","3842","99","0.03104600980601799197336448","0"
"0x00000000000000000000000000000000000522","635","false","6","0","0","0","772","41","0.07021296938617922936719444","0"
"0x00000000000000000000000000000000000523","664","false","4","0","0","0","164","12","0.1190613319963694635000","0"
"0x00000000000000000000000000000000000524","667","false","5","0","0","0","58","3","0.1292651646438400368624","0"
"0x00000000000000000000000000000000000525","669","false","8","0","0","0","87","10","0.1915923023422994624120","0"
"0x00000000000000000000000000000000000530","47","false","10","0","0","0","5263","335","0.07041952390647030409426040","0"
"0x00000000000000000000000000000000000531","135","false","5","0","0","0","4270","151","0.04113481730620569864336308","0"
"0x00000000000000000000000000000000000532","529","false","5","0","0","0","745","14","0.03013309346877707072982136","0"
"0x00000000000000000000000000000000000533","661","false","4","0","0","0","9938","177","0.02051440277877163916925524","0"
"0x00000000000000000000000000000000000534","673","false","10","0","0","0","4279","175","0.04705892381729045045178168","0"
"0x00000000000000000000000000000000000535","686","false","5","0","0","0","133","8","0.1085903445974235300972","0"
"0x00000000000000000000000000000000000536","778","false","5","0","0","0","3755","34","0.01238750139165042014157960","0"
"0x00000000000000000000000000000000000537","835","false","10","0","0","0","4722","159","0.03902756340195499760302060","0"
"0x00000000000000000000000000000000000540","908","false","10","0","0","0","4401","117","0.03156970891434246670898172","0"
"0x00000000000000000000000000000000000542","938","false","6","0","0","0","3826","70","0.02282111843409831226067760","0"
"0x00000000000000000000000000000000000543","8153","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000547","682","false","5","0","0","0","770","13","0.02754163922973363304167056","0"
"0x00000000000000000000000000000000000550","688","false","7","0","0","0","519","26","0.07083982303640641712910796","0"
"0x00000000000000000000000000000000000551","695","false","6","0","0","0","1443","27","0.02648222702765627005618540","0"
"0x00000000000000000000000000000000000557","638","false","4","0","0","0","50","4","0.1755224469394623621960","0"
"0x00000000000000000000000000000000000558","740","false","5","0","0","0","81","2","0.0760602973317564457612","0"
"0x00000000000000000000000000000000000559","837","false","7","0","0","0","71","9","0.2153270335333771936036","0"
"0x00000000000000000000000000000000000560","905","false","6","0","0","0","4202","64","0.01919065737051786444963576","0"
"0x00000000000000000000000000000000000561","625","false","4","0","0","0","1283","18","0.02138268278093731642896280","0"
"0x00000000000000000000000000000000000564","676","false","5","0","0","0","3394","27","0.01128591886145532105998240","0"
"0x00000000000000000000000000000000000566","8152","false","10","0","0","0","5681","341","0.06636214777104055793404260","0"
"0x00000000000000000000000000000000000569","4694","false","10","0","0","0","4610","319","0.07671718480376571302525932","0"
"0x00000000000000000000000000000000000570","7545","false","10","0","0","0","5489","188","0.03924154826265748715932728","0"
"0x00000000000000000000000000000000000572","49","false","5","0","0","0","764","25","0.04675795837713394861139524","0"
"0x00000000000000000000000000000000000580","3407","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000581","2255","false","10","0","0","0","0","0","0.97","0"
"0x00000000000000000000000000000000000583","5394","false","10","0","0","0","2","2","1","0"
"0x00000000000000000000000000000000000587","3605","true","10","5000","5000","0","19858","599","0.03259204532931101133279536","10000"
"0x00000000000000000000000000000000000596","663","true","5","2000","2000","0","35508","6","0.000343145266590967854969488160","8000"
"0x00000000000000000000000000000000000597","998","true","5","10000","10000","0","34093","15","0.00069916542821096457499960","40000"
"0x00000000000000000000000000000000000598","998","true","4","4000","4000","0","2472","5","0.00436305812278186744131956","20000"
"0x00000000000000000000000000000000000599","998","true","3","1500","1500","0","262","0","0.01118405214215941081610184","10000"
"0x00000000000000000000000000000000000600","1691","true","23","20000","20000","0","11195","10","0.00156265969254748795142692","17391"
"0x00000000000000000000000000000000000601","1427","true","25","5000","5000","0","40733","0","0.000072663603405418165434745568","4000"
"0x00000000000000000000000000000000000602","1289","true","30","2500","2500","0","42195","2","0.000151542969392917136042522740","1666"
"0x00000000000000000000000000000000000603","1289","true","30","2500","2500","0","41451","6","0.000293951515379932350897709648","1666"
"0x00000000000000000000000000000000000604","631","true","10","4000","4000","0","27013","42","0.00206707788164686934846672","8000"
"0x00000000000000000000000000000000000605","631","true","6","500","500","0","1832","4","0.00511206226999299402324700","1666"
"0x00000000000000000000000000000000000606","631","true","4","500","500","0","600","4","0.01554955860546393757122224","2500"
"0x00000000000000000000000000000000000607","1526","true","6","2000","2000","0","31156","59","0.00241245350911425719597256","6666"
"0x00000000000000000000000000000000000608","939","true","7","700","700","0","26299","5","0.000410644499661212166546786548","2000"
"0x00000000000000000000000000000000000609","939","true","4","400","400","0","445","0","0.00661212551735538942097228","2000"
"0x00000000000000000000000000000000000610","939","true","4","300","300","0","82","0","0.0349619513893479346380","1500"
"0x00000000000000000000000000000000000611","1361","true","10","1250","1250","0","6086","5","0.00177369242013459805256188","2500"
"0x00000000000000000000000000000000000612","678","true","10","1000","1000","0","3773","6","0.00322653678405331990374832","2000"
"0x00000000000000000000000000000000000613","678","true","6","500","500","0","276","0","0.01062216645791419098157208","1666"
"0x00000000000000000000000000000000000614","678","true","4","500","500","0","41","0","0.0677892210465128613744","1843"
"0x00000000000000000000000000000000000615","298","true","6","5000","5000","0","28748","100","0.00419696640977334466659964","16666"
"0x00000000000000000000000000000000000616","3737","true","10","2500","2500","0","1599","1","0.00297892691620581974746364","5000"
"0x00000000000000000000000000000000000617","7033","true","25","500","500","0","25819","0","0.000114632434617656353303964728","400"
"0x00000000000000000000000000000000000618","2408","true","12","6000","6000","0","2550","0","0.00115957371682516328652984","10000"
"0x00000000000000000000000000000000000619","8541","true","12","3000","3000","0","2066","1","0.00230650304124200458562900","5000"
"0x00000000000000000000000000000000000620","2442","true","12","6000","6000","0","1918","0","0.00154113512102618501307444","10000"
"0x00000000000000000000000000000000000621","685","true","8","4000","4000","0","2802","2","0.00227974257152506353182812","10000"
"0x434f8d1a3cc53f20346b47ec6fe0926f217d38ec","38","false","6","0","0","2","0","0","0.97","0"
"0xa8c2bef6882dce02f7005a76fbdd4bcf90cd8cf6","34","false","5","0","0","0","1","0","0.7953097637085443826308","0"
"0xdce663ebfced815af8ceb3a7b1cf83f735f6d9fa","39","false","5","0","0","4","46034","428","0.01019650062208372352157944","0"
"0xecdebb57e01e2ea2969e48594d75df4e62afc9f4","6","false","8","0","0","0","0","0","0.97","0"
"0xf1a44074b567f94749e0bf7771468a7c708dfb8e","41","false","6","0","0","1","0","0","0.97","0"
